"or","de","Time","acm_id","sch_id"
"90660","3500+S.+Hill+St.+Los+Angeles+CA+90007",1862,27,8
"90660","1515+E.+104th+St.+Los+Angeles+CA+90002",1562,27,9
"90660","234+E+112TH+ST+LOS+ANGELES+CA+90061",1632,27,10
"90660","2510+E.+Sixth+St.+Los+Angeles+CA+90023",1257,27,11
"90660","1319+E+41st+St.+Los+Angeles+Ca+90011",1763,27,12
"90660","1319+E+41st+St.+Los+Angeles+Ca+90011",1763,27,19
"90660","650+S.+Union+Ave.+Los+Angeles+CA+90017",2123,27,13
"90660","2265+E.+103rd+St+Los+Angeles+CA+90002",1605,27,14
"90660","325+E+111th+St+Los+Angeles+CA+90061",1619,27,15
"90660","4131+S+Vermont+Ave+Los+Angeles+Ca+90037",2079,27,16
"90660","1650+E.+104th+St.+Los+Angeles+CA+90002",1682,27,17
"90660","1200+Plaza+del+Sol+Los+Angeles+CA+90033",1390,27,18
"90660","4505+S.+Raymond+Ave.+Los+Angeles+CA+90037",2246,27,20
"90660","3201+W.+8th+St.+Los+Angeles+CA+90010",2176,27,21
"90660","1700+W+46TH+ST+Los+Angeles+CA+90062",2409,27,22
"90660","456+S+Mathews+St+Los+Angeles+CA+90033",1279,27,23
"90660","1921+S+Maple+Ave.+Los+Angeles+CA+90011",1682,27,25
"90660","725+S.+Indiana+St.+Los+Angeles+CA+90023",1026,27,26
"90660","152+N.+Vermont+Ave.+Los+Angeles+CA+90004",2244,27,27
"90660","144+E+118th+St+Los+Angeles+CA+90061",1723,27,28
"90660","1940+E+111TH+St.+LOS+ANGELES+CA+90059",1422,27,29
"90660","322+LUCAS+AVELOS+ANGELES+CA+90017",2117,27,30
"90660","322+LUCAS+AVELOS+ANGELES+CA+90017",2117,27,31
"90660","322+LUCAS+AVELOS+ANGELES+CA+90017",2117,27,32
"90660","322+LUCAS+AVELOS+ANGELES+CA+90017",2117,27,33
"91326","147+E.+107th+Street+Los+Angeles+CA+90003",3269,29,1
"91326","10915+S.+Mc+Kinley+Ave.+Los+Angeles+CA+90059",3435,29,2
"91326","405+E+122nd+St+Los+Angeles+Ca+90061",3428,29,3
"91326","330+E.+93rd+St+Los+Angeles+CA+90003",3339,29,4
"91326","1575+W+2nd.+ST+Los+Angeles+CA+90026",2324,29,5
"91326","1575+W+2nd.+ST+Los+Angeles+CA+90026",2324,29,24
"91326","4410+McKinley+Ave+Los+Angeles+CA+90011",2997,29,6
"91326","3500+S.+Hill+St.+Los+Angeles+CA+90007",2770,29,8
"91326","1515+E.+104th+St.+Los+Angeles+CA+90002",3490,29,9
"91326","234+E+112TH+ST+LOS+ANGELES+CA+90061",3237,29,10
"91326","2510+E.+Sixth+St.+Los+Angeles+CA+90023",2431,29,11
"91326","1319+E+41st+St.+Los+Angeles+Ca+90011",2968,29,12
"91326","1319+E+41st+St.+Los+Angeles+Ca+90011",2968,29,19
"91326","650+S.+Union+Ave.+Los+Angeles+CA+90017",2511,29,13
"91326","2265+E.+103rd+St+Los+Angeles+CA+90002",3728,29,14
"91326","325+E+111th+St+Los+Angeles+CA+90061",3359,29,15
"91326","4131+S+Vermont+Ave+Los+Angeles+Ca+90037",2881,29,16
"91326","1650+E.+104th+St.+Los+Angeles+CA+90002",3504,29,17
"91326","1200+Plaza+del+Sol+Los+Angeles+CA+90033",2390,29,18
"91326","4505+S.+Raymond+Ave.+Los+Angeles+CA+90037",3034,29,20
"91326","3201+W.+8th+St.+Los+Angeles+CA+90010",2401,29,21
"91326","1700+W+46TH+ST+Los+Angeles+CA+90062",3157,29,22
"91326","456+S+Mathews+St+Los+Angeles+CA+90033",2371,29,23
"91326","1921+S+Maple+Ave.+Los+Angeles+CA+90011",2720,29,25
"91326","725+S.+Indiana+St.+Los+Angeles+CA+90023",2673,29,26
"91326","152+N.+Vermont+Ave.+Los+Angeles+CA+90004",2138,29,27
"91326","144+E+118th+St+Los+Angeles+CA+90061",3366,29,28
"91326","1940+E+111TH+St.+LOS+ANGELES+CA+90059",3525,29,29
