acm_id,Full.Name,Home.Address,School.Address,School,Commute.Time,Mode,Stutus,Commute.Rank
7,,,3601+North+Milwaukee+Avenue+Chicago+IL+60641,Schurz High School,1580,driving,OK,2
7,,,4343+West+Wrightwood+Chicago+IL+60639,Kelvyn Park High School,1942,driving,OK,3
7,,,244+E.+Pershing+Road+Chicago+IL+60653,Wendell Phillips Academy,2364,driving,OK,4
7,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,2379,driving,OK,5
7,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,2382,driving,OK,6
7,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,2564,driving,OK,7
7,,,4820+West+Walton+Chicago+IL+60651,McNair School of Excellence,2599,driving,OK,8
7,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,2633,driving,OK,9
7,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,2722,driving,OK,10
7,,,1420+S.+Albany+Chicago+IL+60623,Johnson School of Excellence,2731,driving,OK,11
7,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,2807,driving,OK,12
7,,,720+North+Lorel+Avenue+Chicago+IL+60644,Howe School of Excellence,2893,driving,OK,13
7,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,2898,driving,OK,14
7,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,2905,driving,OK,15
7,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,2952,driving,OK,16
7,,,3711+West+Douglas+Boulevard+Chicago+IL+60612,Herzl School of Excellence,2967,driving,OK,17
7,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,3049,driving,OK,18
7,,,7736+S+Burnham+Ave+Chicago+IL+60647,Myra Bradwell School of Excellence,3076,driving,OK,19
7,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,3118,driving,OK,20
7,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,3155,driving,OK,21
7,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,3240,driving,OK,22
7,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,3361,driving,OK,23
7,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,3461,driving,OK,24
7,,,6550+S+Richmond+St+Chicago+IL+60629,Marquette School of Excellence,3726,driving,OK,25
7,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,3997,driving,OK,26
8,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,323,driving,OK,1
8,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,452,driving,OK,2
8,,,244+E.+Pershing+Road+Chicago+IL+60653,Wendell Phillips Academy,472,driving,OK,3
8,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,711,driving,OK,4
8,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,787,driving,OK,5
8,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,892,driving,OK,6
8,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,958,driving,OK,7
8,,,7736+S+Burnham+Ave+Chicago+IL+60647,Myra Bradwell School of Excellence,968,driving,OK,8
8,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,1083,driving,OK,9
8,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,1131,driving,OK,10
8,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,1138,driving,OK,11
8,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,1394,driving,OK,12
8,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,1421,driving,OK,13
8,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,1607,driving,OK,14
